"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"3","","1","Plant Management","9","0","","0"
"0","","0","Login test validation for UI","6","0","","0"
"0","","1","Sales API management","5","0","","0"
"0","","9","Plant Management API","11","0","","0"
"1","","0","Plant management","16","0","","0"
"11","","0","Sales management","0","0","","0"
"2","","1","Category Management - Admin","5","0","","0"
"0","","0","User Category API Operations","5","0","","0"
"2","","0","Category API Management","4","0","","0"
"1","","0","Category Management - User","1","0","","0"
"0","","0","Login test validation for API","2","0","","0"
